process_id,section_id,so_hieu,sequence,content
695fce3297fdc5f42bd4a707,694fb816aedc69db48c709cf,31/2024/QH15,1,Nhóm đất nông nghiệp bao gồm đất lâm nghiệp.
695fce3297fdc5f42bd4a708,694fb816aedc69db48c709cf,31/2024/QH15,2,Đất lâm nghiệp gồm đất rừng đặc dụng.
695fce3297fdc5f42bd4a709,694fb816aedc69db48c709cf,31/2024/QH15,3,Đất lâm nghiệp gồm đất rừng phòng hộ.
695fce3297fdc5f42bd4a70a,694fb816aedc69db48c709cf,31/2024/QH15,4,Đất lâm nghiệp gồm đất rừng sản xuất.
695fce3297fdc5f42bd4a70e,694fb816aedc69db48c709d3,31/2024/QH15,1,Nhóm đất nông nghiệp bao gồm đất nông nghiệp khác.
695fce3297fdc5f42bd4a73c,694fb816aedc69db48c709de,31/2024/QH15,1,Nhóm đất phi nông nghiệp bao gồm đất phi nông nghiệp khác.
695fce3297fdc5f42bd4a9d9,694fb816aedc69db48c70b75,31/2024/QH15,1,Nội dung quan trắc chất lượng đất bao gồm xác định chỉ tiêu.
695fce3297fdc5f42bd4a9da,694fb816aedc69db48c70b75,31/2024/QH15,2,Nội dung quan trắc chất lượng đất bao gồm tần suất quan trắc.
695fce3297fdc5f42bd4a9db,694fb816aedc69db48c70b75,31/2024/QH15,3,Nội dung quan trắc thoái hóa đất bao gồm xác định chỉ tiêu.
695fce3297fdc5f42bd4a9dc,694fb816aedc69db48c70b75,31/2024/QH15,4,Nội dung quan trắc thoái hóa đất bao gồm tần suất quan trắc.
695fce3297fdc5f42bd4a9dd,694fb816aedc69db48c70b75,31/2024/QH15,5,Nội dung quan trắc ô nhiễm đất bao gồm xác định chỉ tiêu.
695fce3297fdc5f42bd4a9de,694fb816aedc69db48c70b75,31/2024/QH15,6,Nội dung quan trắc ô nhiễm đất bao gồm tần suất quan trắc.
695fce3297fdc5f42bd4aa4a,694fb816aedc69db48c70bd8,31/2024/QH15,1,Căn cứ lập quy hoạch sử dụng đất quốc gia bao gồm điều kiện tự nhiên.
695fce3297fdc5f42bd4aa4b,694fb816aedc69db48c70bd8,31/2024/QH15,2,Căn cứ lập quy hoạch sử dụng đất quốc gia bao gồm kinh tế.
695fce3297fdc5f42bd4aa4c,694fb816aedc69db48c70bd8,31/2024/QH15,3,Căn cứ lập quy hoạch sử dụng đất quốc gia bao gồm xã hội.
695fce3397fdc5f42bd4aa5c,694fb816aedc69db48c70be2,31/2024/QH15,1,Căn cứ lập kế hoạch sử dụng đất quốc gia bao gồm khả năng đầu tư.
695fce3397fdc5f42bd4aa5d,694fb816aedc69db48c70be2,31/2024/QH15,2,Căn cứ lập kế hoạch sử dụng đất quốc gia bao gồm huy động nguồn lực.
695fce3397fdc5f42bd4aa64,694fb816aedc69db48c70be9,31/2024/QH15,1,Căn cứ lập quy hoạch sử dụng đất cấp tỉnh bao gồm quy hoạch tỉnh.
695fce3397fdc5f42bd4aac8,694fb816aedc69db48c70c15,31/2024/QH15,1,"Tiêu chí lựa chọn các công trình, dự án ưu tiên trong kế hoạch sử dụng đất hằng năm cấp huyện bao gồm bảo đảm quốc phòng."
